0.999998 -0.00372104 5
0.999993 -0.00744408 5.001
0.999983 -0.011169 5.002
0.99997 -0.0148957 5.003
0.999953 -0.018624 5.004
0.999933 -0.0223539 5.005
0.999909 -0.0260852 5.006
0.999881 -0.0298178 5.007
0.999849 -0.0335517 5.008
0.999814 -0.0372866 5.009
0.999775 -0.0410225 5.01
0.999732 -0.0447594 5.011
0.999685 -0.048497 5.012
0.999635 -0.0522354 5.013
0.999581 -0.0559743 5.014
0.999523 -0.0597137 5.015
0.999461 -0.0634535 5.016
0.999396 -0.0671936 5.017
0.999327 -0.0709339 5.018
0.999254 -0.0746743 5.019
0.999178 -0.0784148 5.02
0.999098 -0.0821551 5.021
0.999014 -0.0858953 5.022
0.998926 -0.0896352 5.023
0.998834 -0.0933748 5.024
0.998739 -0.0971139 5.025
0.998641 -0.100853 5.026
0.998538 -0.10459 5.027
0.998432 -0.108328 5.028
0.998322 -0.112064 5.029
0.998208 -0.1158 5.03
0.99809 -0.119535 5.031
0.997969 -0.123268 5.032
0.997844 -0.127001 5.033
0.997716 -0.130732 5.034
0.997584 -0.134462 5.035
0.997448 -0.138191 5.036
0.997308 -0.141919 5.037
0.997164 -0.145644 5.038
0.997017 -0.149369 5.039
0.996867 -0.153091 5.04
0.996712 -0.156812 5.041
0.996554 -0.160531 5.042
0.996392 -0.164249 5.043
0.996227 -0.167964 5.044
0.996058 -0.171678 5.045
0.995885 -0.175389 5.046
0.995708 -0.179098 5.047
0.995528 -0.182805 5.048
0.995344 -0.18651 5.049
0.995157 -0.190212 5.05
0.994966 -0.193912 5.051
0.994771 -0.19761 5.052
0.994573 -0.201305 5.053
0.99437 -0.204998 5.054
0.994165 -0.208687 5.055
0.993956 -0.212375 5.056
0.993743 -0.216059 5.057
0.993526 -0.219741 5.058
0.993306 -0.223419 5.059
0.993082 -0.227095 5.06
0.992855 -0.230768 5.061
0.992624 -0.234438 5.062
0.99239 -0.238105 5.063
0.992151 -0.241768 5.064
0.99191 -0.245429 5.065
0.991665 -0.249086 5.066
0.991416 -0.25274 5.067
0.991163 -0.25639 5.068
0.990908 -0.260037 5.069
0.990648 -0.263681 5.07
0.990385 -0.267321 5.071
0.990119 -0.270958 5.072
0.989849 -0.274591 5.073
0.989575 -0.27822 5.074
0.989298 -0.281846 5.075
0.989017 -0.285468 5.076
0.988733 -0.289086 5.077
0.988446 -0.2927 5.078
0.988155 -0.296311 5.079
0.98786 -0.299918 5.08
0.987562 -0.30352 5.081
0.987261 -0.307119 5.082
0.986956 -0.310714 5.083
0.986647 -0.314304 5.084
0.986335 -0.317891 5.085
0.98602 -0.321473 5.086
0.985701 -0.325051 5.087
0.985379 -0.328625 5.088
0.985054 -0.332195 5.089
0.984725 -0.33576 5.09
0.984393 -0.339321 5.091
0.984057 -0.342878 5.092
0.983718 -0.34643 5.093
0.983375 -0.349978 5.094
0.983029 -0.353521 5.095
0.98268 -0.35706 5.096
0.982328 -0.360594 5.097
0.981972 -0.364124 5.098
0.981613 -0.367649 5.099
0.98125 -0.371169 5.1
0.980884 -0.374685 5.101
0.980515 -0.378196 5.102
