1 -0.000326155 5
1 -0.000652338 5.0001
1 -0.00097855 5.0002
1 -0.00130479 5.0003
1 -0.00163106 5.0004
0.999999 -0.00195736 5.0005
0.999999 -0.00228368 5.0006
0.999999 -0.00261004 5.0007
0.999999 -0.00293642 5.0008
0.999998 -0.00326283 5.0009
0.999998 -0.00358927 5.001
0.999998 -0.00391573 5.0011
0.999997 -0.00424222 5.0012
0.999997 -0.00456874 5.0013
0.999996 -0.00489529 5.0014
0.999996 -0.00522186 5.0015
0.999995 -0.00554846 5.0016
0.999995 -0.00587509 5.0017
0.999994 -0.00620174 5.0018
0.999993 -0.00652842 5.0019
0.999993 -0.00685512 5.002
0.999992 -0.00718185 5.0021
0.999991 -0.00750861 5.0022
0.999991 -0.00783539 5.0023
0.99999 -0.00816219 5.0024
0.999989 -0.00848903 5.0025
0.999988 -0.00881588 5.0026
0.999987 -0.00914277 5.0027
0.999986 -0.00946967 5.0028
0.999985 -0.0097966 5.0029
0.999984 -0.0101236 5.003
0.999983 -0.0104505 5.0031
0.999982 -0.0107775 5.0032
0.999981 -0.0111046 5.0033
0.99998 -0.0114316 5.0034
0.999979 -0.0117587 5.0035
0.999978 -0.0120858 5.0036
0.999976 -0.0124129 5.0037
0.999975 -0.0127401 5.0038
0.999974 -0.0130672 5.0039
0.999973 -0.0133944 5.004
0.999971 -0.0137216 5.0041
0.99997 -0.0140489 5.0042
0.999968 -0.0143761 5.0043
0.999967 -0.0147034 5.0044
0.999965 -0.0150307 5.0045
0.999964 -0.0153581 5.0046
0.999962 -0.0156854 5.0047
0.999961 -0.0160128 5.0048
0.999959 -0.0163402 5.0049
0.999958 -0.0166676 5.005
0.999956 -0.016995 5.0051
0.999954 -0.0173225 5.0052
0.999952 -0.01765 5.0053
0.999951 -0.0179775 5.0054
0.999949 -0.018305 5.0055
0.999947 -0.0186325 5.0056
0.999945 -0.0189601 5.0057
0.999943 -0.0192877 5.0058
0.999941 -0.0196153 5.0059
0.999939 -0.0199429 5.006
0.999937 -0.0202705 5.0061
0.999935 -0.0205982 5.0062
0.999933 -0.0209259 5.0063
0.999931 -0.0212536 5.0064
0.999929 -0.0215813 5.0065
0.999927 -0.021909 5.0066
0.999924 -0.0222368 5.0067
0.999922 -0.0225645 5.0068
0.99992 -0.0228923 5.0069
0.999918 -0.0232201 5.007
0.999915 -0.023548 5.0071
0.999913 -0.0238758 5.0072
0.999911 -0.0242037 5.0073
0.999908 -0.0245316 5.0074
0.999906 -0.0248595 5.0075
0.999903 -0.0251874 5.0076
0.999901 -0.0255153 5.0077
0.999898 -0.0258433 5.0078
0.999895 -0.0261713 5.0079
0.999893 -0.0264992 5.008
0.99989 -0.0268272 5.0081
0.999887 -0.0271553 5.0082
0.999885 -0.0274833 5.0083
0.999882 -0.0278114 5.0084
0.999879 -0.0281394 5.0085
0.999876 -0.0284675 5.0086
0.999873 -0.0287956 5.0087
0.999871 -0.0291237 5.0088
0.999868 -0.0294519 5.0089
0.999865 -0.02978 5.009
0.999862 -0.0301082 5.0091
0.999859 -0.0304364 5.0092
0.999856 -0.0307646 5.0093
0.999852 -0.0310928 5.0094
0.999849 -0.031421 5.0095
0.999846 -0.0317492 5.0096
0.999843 -0.0320775 5.0097
0.99984 -0.0324058 5.0098
0.999837 -0.0327341 5.0099
0.999833 -0.0330624 5.01
0.99983 -0.0333907 5.0101
0.999827 -0.033719 5.0102
0.999823 -0.0340473 5.0103
0.99982 -0.0343757 5.0104
0.999816 -0.034704 5.0105
0.999813 -0.0350324 5.0106
0.999809 -0.0353608 5.0107
0.999806 -0.0356892 5.0108
0.999802 -0.0360176 5.0109
0.999799 -0.0363461 5.011
0.999795 -0.0366745 5.0111
0.999791 -0.037003 5.0112
0.999787 -0.0373314 5.0113
0.999784 -0.0376599 5.0114
0.99978 -0.0379884 5.0115
0.999776 -0.0383169 5.0116
0.999772 -0.0386454 5.0117
0.999768 -0.038974 5.0118
0.999764 -0.0393025 5.0119
0.999761 -0.0396311 5.012
0.999757 -0.0399596 5.0121
0.999753 -0.0402882 5.0122
0.999748 -0.0406168 5.0123
0.999744 -0.0409454 5.0124
0.99974 -0.041274 5.0125
0.999736 -0.0416026 5.0126
0.999732 -0.0419312 5.0127
0.999728 -0.0422598 5.0128
0.999724 -0.0425885 5.0129
0.999719 -0.0429171 5.013
0.999715 -0.0432458 5.0131
0.999711 -0.0435745 5.0132
0.999706 -0.0439032 5.0133
0.999702 -0.0442319 5.0134
0.999697 -0.0445606 5.0135
0.999693 -0.0448893 5.0136
0.999688 -0.045218 5.0137
0.999684 -0.0455467 5.0138
0.999679 -0.0458754 5.0139
0.999675 -0.0462042 5.014
0.99967 -0.0465329 5.0141
0.999665 -0.0468617 5.0142
0.999661 -0.0471905 5.0143
0.999656 -0.0475193 5.0144
0.999651 -0.047848 5.0145
0.999646 -0.0481768 5.0146
0.999642 -0.0485056 5.0147
0.999637 -0.0488344 5.0148
0.999632 -0.0491633 5.0149
0.999627 -0.0494921 5.015
0.999622 -0.0498209 5.0151
0.999617 -0.0501497 5.0152
0.999612 -0.0504786 5.0153
0.999607 -0.0508074 5.0154
0.999602 -0.0511363 5.0155
0.999597 -0.0514651 5.0156
0.999591 -0.051794 5.0157
0.999586 -0.0521229 5.0158
0.999581 -0.0524518 5.0159
0.999576 -0.0527807 5.016
0.99957 -0.0531095 5.0161
0.999565 -0.0534384 5.0162
0.99956 -0.0537673 5.0163
0.999554 -0.0540962 5.0164
0.999549 -0.0544252 5.0165
0.999543 -0.0547541 5.0166
